PROJECT_CODE,INDICATION_UNIQUE_CODE,TVP_POPULATIONS_OF_INTEREST,TVP_NEED,TVP_COMPETITIVE_POSITIONING_CURRENT_SOC,TVP_COMPETITIVE_POSITIONING_FUTURE_SOC_COMPETITORS,TVP_VALUE_TO_PRESCRIBERS,TVP_VALUE_TO_PATIENTS,TVP_VALUE_TO_PAYERS,TVP_STATUS,TVP_SOURCE_RECORD_IDS,CREATED_BY,MODIFIED_BY,CREATED_DATE,MODIFIED_DATE
SAR445514,1-3L RRMM w/NK Cell,"adult patients with RRMM, in combination with allogeneic NK
","who have received at least 3 prior therapies including PIs, IMiD and anti-CD38
","Improve PFS to 30 months (TECVAYLI: 2-Y PFS 61%)
Improve OS to 36 months (TECVAYLI 2Y OS  74% ) - not avail at launch
Offer significant CR improvement: 90% 
Favorable safety profile and convenience ","CAR-T will be a benchmark on level of efficacy but not SoC at launch due to logistic and safety drawbacks
Better efficacy vs TCE, 
Similar efficacy vs CAR-T
Significant improvement on safety and convenience","Value statement(s) specific to each stakeholder
","Improved tolerability, mainly related to reduced CRS risk
Reduced hospitalization requirements
Reduced timelines for treatment initiation (allogeneic NK and SAR’514: OTS)
Less treatment-related impact on HR-QoL and Activities of Daily living
Well-tolerated maintenance therapy option with SAR'514 alone","OS data: required 
CAR-T already on the market have OS
helps for cost-effectiveness, and for comparison for competitors
Challenging demonstration of cost-effectiveness of the combo and affordability issues (esp. ex-US)",Draft,"463,464,465,466,467,468,469",Adeline.Garcia@sanofi.com,Adeline.Garcia@sanofi.com,2024-11-19 10:30:00.000,2024-11-19 10:30:00.000
SAR445088,CIDP - Refractory,"<p style=""text-align:left""><span><span><span><span><span style=""font-size:9.0pt""><span><span style=""color:black""><span>People living with CIDP without full recovery despite treatment</span></span></span></span></span></span></span></span></p>","<p style=""text-align:left""><span><span><span><span><span style=""font-size:9.0pt""><span><span style=""color:black""><span>seek significant functional improvement to restore QOL and reclaim their pre-condition status</span></span></span></span></span></span></span></span></p>","<div style=""margin-left:18px; text-align:left""><span><span><span><span><span style=""font-size:8.0pt""><span>•</span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>First CIDP treatment that reduces axonal damage</span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left""><span><span><span><span><span style=""font-size:8.0pt""><span>•</span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>Greater efficacy and functional improvement with demonstrated head-to-head superiority vs immunoglobulin (Ig) </span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left""><span><span><span><span><span style=""font-size:8.0pt""><span>•</span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span><span>I</span></span></span></span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>mprovement in people with CIDP with inadequate response to treatment, including refractory disease</span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left"" class=""O0""><span><span><span><span><span><span style=""font-size:8.0pt""><span>•</span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>Selective and targeted MOA potentially addressing underlying disease biology instead of only offering partial, temporary relief</span></span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left"" class=""O0""><span><span><span><span><span><span style=""font-size:8.0pt""><span>•</span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>Distinctive safety profile of upstream classical complement inhibition </span></span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left""><span><span><span><span><span style=""font-size:8.0pt""><span>•</span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>Convenient self-administered injection reducing dependence on infusion centers and improving patient autonomy </span></span></span></span></span></span></span></span></div>","<div style=""margin-left:18px; text-align:left""><span><span><span><span><span style=""font-size:8.0pt""><span>•</span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>First CIDP treatment that reduces axonal damage</span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left""><span><span><span><span><span style=""font-size:8.0pt""><span>•</span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>Greater efficacy and functional improvement with demonstrated head-to-head superiority vs immunoglobulin (Ig) </span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left""><span><span><span><span><span style=""font-size:8.0pt""><span>•</span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span><span>I</span></span></span></span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>mprovement in people with CIDP with inadequate response to treatment, including refractory disease</span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left"" class=""O0""><span><span><span><span><span><span style=""font-size:8.0pt""><span>•</span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>Selective and targeted MOA potentially addressing underlying disease biology instead of only offering partial, temporary relief</span></span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left"" class=""O0""><span><span><span><span><span><span style=""font-size:8.0pt""><span>•</span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>Distinctive safety profile of upstream classical complement inhibition </span></span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left""><span><span><span><span><span style=""font-size:8.0pt""><span>•</span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>Convenient self-administered injection reducing dependence on infusion centers and improving patient autonomy </span></span></span></span></span></span></span></span></div>","<div style=""margin-left:18px; text-align:left"" class=""O1""><span><span><span><span><span><span><span style=""font-size:8.0pt""><span style=""font-size:100%""><span style=""color:#23004c""><span>•</span></span></span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>Redefines treatment goals beyond just stopping disease progression (stability)</span></span></span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left"" class=""O1""><span><span><span><span><span><span><span style=""font-size:8.0pt""><span style=""font-size:100%""><span style=""color:#23004c""><span>•</span></span></span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>Removes uncertainty on product availability (</span></span></span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>e.g.</span></span></span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span> Ig)</span></span></span></span></span></span></span></span></span></span></div>","<div style=""margin-left:18px; text-align:left"" class=""O1""><span><span><span><span><span><span><span style=""font-size:8.0pt""><span style=""font-size:100%""><span style=""color:#23004c""><span>•</span></span></span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>Substantial improvements in daily activities (</span></span></span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>i</span></span></span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>-RODS) and longer-term function</span></span></span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left"" class=""O1""><span><span><span><span><span><span><span style=""font-size:8.0pt""><span style=""font-size:100%""><span style=""color:#23004c""><span>•</span></span></span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>Reduces treatment burden with at-home self-administration and fewer side-effects vs IVIG/CS</span></span></span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left"" class=""O1""><span><span><span><span><span><span><span style=""font-size:8.0pt""><span style=""font-size:100%""><span style=""color:#23004c""><span>•</span></span></span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>Enhances QOL and sense of control over disease trajectory</span></span></span></span></span></span></span></span></span></span></div>","<p style=""text-align:left""><span><span><span><span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>High clinical value supported by robust evidence in all, including the most difficult to treat CIDP patient sub-groups </span></span></span></span></span></span></span></span></p><div style=""margin-left:18px; text-align:left""><span><span><span><span><span style=""font-size:8.0pt""><span>•</span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>No associated site of care costs (after loading dose)​</span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left""><span><span><span><span><span style=""font-size:8.0pt""><span>•</span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>Reduced healthcare utilization due to better efficacy and safety profile​</span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left""><span><span><span><span><span style=""font-size:8.0pt""><span>•</span></span><span style=""font-size:8.0pt""><span><span style=""color:black""><span>Cost effective vs SOC at target price using basic ICER thresholds (aspirational)</span></span></span></span></span></span></span></span></div>",Published,"785,786,787,788,789,790,791",Helena.Andersson@sanofi.com,Helena.Andersson@sanofi.com,2025-09-29 17:33:00.000,2025-09-29 17:34:00.000
LC81263,LC81263_IND001,"Moderate-severe IBD: Crohn’s Disease 600K patients in the US, 400K patients in the EU; Ulcerative Colitis 660K patients in the US, 600K patients in the EU. 
","Available therapies have low remission rates, lack durable remission, and many have significant safety concerns.  Only 25-40% of biologic-naïve patients achieve remission at induction (8-12 weeks).  And only 20-30% of patients will achieve and maintain remission at year 1.  Chronic illness and unpredictable flares lead to 50% of bio-treated patients receiving steroids and recurring hospitalizations.  

Patients cycle through “conventional treatments”, such as amino-salicylates (5 ASAs) and corticosteroids, before progressing to advanced treatment. Conventional therapies are less effective in Crohn’s vs UC, so Crohn’s patients move to advanced therapy faster.  TNF biologics maintain over 50% share in 1L advanced therapy before moving to other classes (biologic α4β7, biologic IL-23, biologic IL-12/23, oral JAK). 

","Potential for high efficacy oral in 2L. Superior treatment for CD & UC control, fast onset of action, and improved mucosal healing vs SOC for patients not well controlled by or intolerant to current therapeutics including biologics. ",,,,,Draft,"687,688,689,690,691,692,693",Kirsten.Grothe@sanofi.com,Kirsten.Grothe@sanofi.com,2025-03-06 09:47:00.000,2025-03-06 09:47:00.000
LC81277,LC81277_IND001,"HCC 1L1: 19K in US & EU5 drug treated patients in 1L HCC
Potential to also use in NSCLC (population to be defined in the future)

","A less toxic with manageable safety profile, with better efficacy 
","Current SOC Atezo/beva, durva/treme, 
Previous GPC3 TCE had rough forecast ~€750M at peak for 1L HCC with additional potential value from NSCLC. Assumptions to be further validated before M2 based on expectations about asset. 

",emerging ipi nivo; TKIs,,"NK-based approach with manageable safety profile, improved convenience, and high efficacy through combo approaches with other internal or external assets (GPC3 TCE, SoC,….)
",,Published,"512,513,514,515,516,517,518",Christophe.Philippo@sanofi.com,Christophe.Philippo@sanofi.com,2024-12-12 10:13:00.000,2024-12-12 10:16:00.000
LC81299,LC81299_IND001,"Target Population: B-cell malignancies: CAR-T competitor, CAR-T treated and unfit that could be eligible for CAR-T if better tox profile
1L DLBCL High Risk (~6k); R/R DLBCL (~7k); R/R FL (~4k); 1L MCL (~4k); R/R MCL (~2k)

","Fit patients: A less toxic, off-the-shelf therapy with equivalent (or better) efficacy to CAR-T cell therapies
Unfit patients: A less toxic, off-the-shelf therapy with improved efficacy to SoC (non CAR-T)
","~€3.6B across 3 tumors and 6 indications 
Market Share: 30% of 1L DLBCL/FL HR (6% overall); 15% of R/R
","~€3.6B across 3 tumors and 6 indications 
Market Share: 30% of 1L DLBCL/FL HR (6% overall); 15% of R/R
 
","Next generation, low toxicity CAR-T that provides the efficacy benefits of autologous therapy with the benefits of allogeneic options, allowing even more patients to experience the demonstrated benefits of CAR-T therapy",,,Draft,"169,170,171,172,173,174,175",Carla.Lawendowski@sanofi.com,Carla.Lawendowski@sanofi.com,2024-10-08 22:47:00.000,2024-10-22 17:50:00.000
LC81317,LC81317_IND001,"<div style=""margin-left:18px; text-align:left"" class=""O0""><span><span><span><span><span><span style=""font-size:12.0pt""><span>•</span></span><span style=""font-size:12.0pt""><span><span><span style=""color:#23004c""><span><span><strong><span><span>Alzheimer's Disease: </span></span></strong></span></span></span></span></span></span><span style=""font-size:12.0pt""><span><span><span style=""color:#23004c""><span><span><span><span><span>Early ALZ&nbsp; (</span></span></span></span></span></span></span></span></span><span style=""font-size:12.0pt""><span><span><span style=""color:#23004c""><span><span><span><span><span>MCI+Mild</span></span></span></span></span></span></span></span></span><span style=""font-size:12.0pt""><span><span><span style=""color:#23004c""><span><span><span><span><span> ALZ): US: ~9M; EU4+UK: ~8M</span></span></span></span></span></span></span></span></span></span></span></span></span></span></div>","<div style=""margin-left:18px; text-align:left""><span><span><span><span><span style=""font-size:12.0pt""><span>•</span></span><span style=""font-size:12.0pt""><span><span style=""color:#23004c""><span><strong>High unmet need </strong></span></span></span></span><span style=""font-size:12.0pt""><span><span style=""color:#23004c""><span>- need for more effective DMTs with improved benefit:risk profiles </span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left""><span><span><span><span><span style=""font-size:12.0pt""><span>•</span></span><span style=""font-size:12.0pt""><span><span style=""color:#23004c""><span>Recently approved amyloid targeting mAb DMTs have demonstrated modest slowing of cognitive decline and also potentially serious safety risk i.e., ARIA [amyloid related imagine abnormalities]</span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left""><span><span><span><span><span style=""font-size:12.0pt""><span>•</span></span><span style=""font-size:12.0pt""><span><span style=""color:#23004c""><span>Symptomatic treatments still in use </span></span></span></span></span></span></span></span></div>","<div style=""margin-left:18px; text-align:left""><span><span><span><span><span><span style=""font-size:12.0pt""><span>•</span></span><span style=""font-size:12.0pt""><span><span style=""color:#23004c""><span>ALZ treatment still comprise largely generic symptomatic treatments [Donepezil, Rivastigmine, Galantamine (Cholinesterase inhibitors), Memantine (Glutamate regulator)</span></span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left""><span><span><span><span><span><span style=""font-size:12.0pt""><span>•</span></span><span style=""font-size:12.0pt""><span><span style=""color:#23004c""><span>US: 2 anti-amyloid mAbs DMTs approved in US: Lecanemab (Leqembi)and Donanemab (Kisunla). [Aducanumab (Aduhelm®) withdrawn from US market]</span></span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left""><span><span><span><span><span><span style=""font-size:12.0pt""><span>•</span></span><span style=""font-size:12.0pt""><span><span style=""color:#23004c""><span>EU: CHMP has recommended granting a marketing authorization to Leqembi for treating Early ALZ in patients with only one or no copy of ApoE4</span></span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left""><span><span><span><span><span><span style=""font-size:12.0pt""><span>•</span></span><span style=""font-size:12.0pt""><span><span style=""color:#23004c""><span>2</span></span></span></span><span style=""font-size:12.0pt""><span><span style=""color:#23004c""><span><span>nd</span></span></span></span></span><span style=""font-size:12.0pt""><span><span style=""color:#23004c""><span> generation anti-amyloid DMT, with TfR shuttle, about to commence Ph3 – encouraging early-stage data </span></span></span></span></span></span></span></span></span></div>",,"<div style=""margin-left:18px; text-align:left"" class=""O0""><span><span><span><span><span><span><span style=""font-size:12.0pt""><span>•</span></span><span style=""font-size:12.0pt""><span><span style=""color:#23004c""><span>Inhibiting complement with a brain penetrant aC1s targeting mAb could delay or prevent cognitive decline and slow progression of ALZ disease, delivering novel mechanism DMT targeting synapse loss with a potentially improved benefit:risk in a condition with critical unmet need.</span></span></span></span></span></span></span></span></span></span></div>","<p><span><span><span><span><span><span style=""font-size:12.0pt""><span><span><span style=""color:#23004c""><span><span><strong><span><span>Alzheimer's Disease: </span></span></strong></span></span></span></span></span></span><span style=""font-size:12.0pt""><span><span><span style=""color:#23004c""><span><span><span><span><span>Early ALZ&nbsp; (</span></span></span></span></span></span></span></span></span><span style=""font-size:12.0pt""><span><span><span style=""color:#23004c""><span><span><span><span><span>MCI+Mild</span></span></span></span></span></span></span></span></span><span style=""font-size:12.0pt""><span><span><span style=""color:#23004c""><span><span><span><span><span> ALZ)</span></span></span></span></span></span></span></span></span></span></span></span></span></span></p>","<div style=""margin-left:18px; text-align:left""><span><span><span><span><span><span style=""font-size:12.0pt""><span>•</span></span><span style=""font-size:12.0pt""><span><span style=""color:#23004c""><span>ALZ market is expected to grow from €0.7Bn in 2024 to </span></span></span></span><span style=""font-size:12.0pt""><span><span style=""color:#23004c""><span><strong>~€13B by 2030</strong></span></span></span></span><span style=""font-size:12.0pt""><span><span style=""color:#23004c""><span>, becoming a top selling disease area in neurology </span></span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left""><span><span><span><span><span><span style=""font-size:12.0pt""><span>•</span></span><span style=""font-size:12.0pt""><span><span style=""color:#23004c""><span>Avg. per pt annual cost of ALZ symptomatic Tx in US (Donepezil): ~$5,500</span></span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left""><span><span><span><span><span><span style=""font-size:12.0pt""><span>•</span></span><span style=""font-size:12.0pt""><span><span style=""color:#23004c""><span>Avg. per pt annual list price of ALZ DMT in US: ~$28,200</span></span></span></span></span></span></span></span></span></div>",Draft,"792,793,794,795,796,797,798",Helene.Defoucauld@sanofi.com,Helene.Defoucauld@sanofi.com,2025-11-03 15:40:00.000,2025-11-03 15:40:00.000
LC81328,LC81328_IND001,"1-RRMM, post IMID, PI and anti-CD38 (post-Dara/Isa), and T-cell mediated therapy (CAR T-cell and TCE) in a setting of T-cell exhaustion 
2-SMM and NDMM HR MRD positive following frontline treatement
","current unmet needs in MM
Dual GPRC5D&FcRH5 coverage in RRMM patients
Overcome potential target downregulation/loss","Highly differentiated from PI/Imids and aCD38 SoC (Daratumumab/Isatuximab) in terms of tumor targets and NK-based therapeutics MoA
Different targets vs SoC: First in class full NANOBODY®-based NKCE engaging two NK cell receptors (CD16a/NKp46) and dual tumor targets (GPRC5D/FcRH5) ","Highly differentiated MoA from the competition (T-cell based) with NK-based therapeutics
No full NANOBODY®-based NKCE engaging dual GPRC5D and FcRH5 targets on MM cells - dual targeting in MM to broaden MM patient coverage & address potential antigen loss
No full NANOBODY®-based NKCE engaging CD16a and NKp46 - to superior NK activation 
",,,,Published,"64,65,66,67,68,69,70",Christophe.Philippo@sanofi.com,Christophe.Philippo@sanofi.com,2024-04-04 07:59:00.000,2024-04-04 08:17:00.000
LC81370,LC81370_IND001,"All diagnosed adult ALS patients (2020: US ~14K;  EU5 ~16K; Japan ~10K; China ~42K)** 
Source: Xu et al. 2020
","ALS is a devastating, rapidly progressing and fatal disease - most patients die within 3-5 years of diagnosis
Current therapies provide only modest benefit 
High unmet need for DMTs that more effectively slow disease progression and prolonging survival
","Rilutek (riluzole) - has been the SOC for over 20 years; limited impact on delaying disease progression 
Radicava (edaravone) -slows symptoms of disease; burdensome IV dosing regimen
Relyvrio / Albrioza (sodium phenylbutyrate/ taurursodiol) – first ALS therapy to demonstrate slowing of diseases progression and survival benefit. Oral dosing or administration via a feeding tube
Use of DMTs in combination is common practice 
",,,,,Published,"127,128,129,130,131,132,133",Marie-Carmen.Obinu@sanofi.com,Marie-Carmen.Obinu@sanofi.com,2024-10-07 14:33:00.000,2024-10-07 14:39:00.000
LC81384,LC81384_IND001,"It is estimated by 2033 ~2.8M persons in US/EU5 will be diagnosed with Parkinson's Disease.
~60-70% of patient will be classified as having Early-stage Parkinson's’ Disease (H&Y< 3)
","PD is the 2nd most common neurodegenerative disorder globally
No disease modifying therapies (DMTs) currently exist 
Patients face eventual loss of mobility and severe non-motor symptoms as their disability worsens ","No DMTs approved, either in idiopathic PD (iPD) or targeting genetic subsets of PD
Existing market compromises low-cost generic symptomatic treatments, mostly dopaminergic agents ",,,,,Draft,"330,331,332,333,334,335,336",Marie-Carmen.Obinu@sanofi.com,Marie-Carmen.Obinu@sanofi.com,2024-10-25 18:57:00.000,2025-12-12 14:33:00.000
LC81394,LC81394_IND001,"<div style=""margin-left:18px; text-align:left""><span><span><span><span><span style=""font-size:10.0pt""><span>•</span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span><span>US: ~200k pts&nbsp; (NT1: 50-70%; NT2: 30-50%)</span></span></span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left"" class=""O0""><span><span><span><span><span><span style=""font-size:10.0pt""><span>•</span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span><span>EU5: ~200k pts</span></span></span></span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left"" class=""O0""><span><span><span><span><span><span style=""font-size:10.0pt""><span>•</span></span></span></span></span></span></span></div><p style=""text-align:left""><span><span><span><span><span style=""font-size:8.0pt""><span><span><span style=""color:#23004c""><span><span><span><em><span>Source: Silber MH, et al. Sleep. 2002; Company presentations</span></em></span></span></span></span></span></span></span></span></span></span></span></p>","<div style=""margin-left:18px; text-align:left""><span><span><span><span><span style=""font-size:10.0pt""><span>•</span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span>Need for more effective therapies for NT1 and NT2 without safety risks (e.g., sodium </span></span></span></span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span>oxybate</span></span></span></span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span> [boxed warning/REMS])</span></span></span></span></span></span></span></span></span></div>","<div style=""margin-left:18px; text-align:left""><span><span><span><span><span><span style=""font-size:10.0pt""><span>•</span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span>Symptomatic treatments including stimulants, sodium </span></span></span></span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span>oxybates</span></span></span></span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span>, </span></span></span></span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span>pitolisant</span></span></span></span></span></span></span></span></span></span></div>",,"<div style=""margin-left:18px; text-align:left"" class=""O0""><span><span><span><span><span><span><span style=""font-size:10.0pt""><span>•</span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span>To treat excessive daytime sleepiness (cataplexy in NT1) with a first-in-class CNS penetrant </span></span></span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span>aTfR</span></span></span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span>-Orexin (OXR1, OXR2) in patients with narcolepsy type 1 and 2 and IH</span></span></span></span></span></span></span></span></span></span></div>","<p style=""text-align:left""><span><span><span><span><span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span><span>Total US market size of lead indication €3.5B in 2030</span></span></span></span></span></span></span></span></span></span></span></p><p style=""text-align:left""><span><span><span><span><span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span><span>WW sales 2024: ~€2.2B</span></span></span></span></span></span></span></span></span></span></span></p><p style=""text-align:left""><span><span><span><span><span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span><span>WW sales 2030: : ~€4.0B</span></span></span></span></span></span></span></span></span></span></span></p><p style=""text-align:left""> </p><p style=""text-align:left""><span><span><span><span><span><span style=""font-size:8.0pt""><span><span style=""color:#23004c""><span><em>Source: Evaluate Pharma (Mar 2025); assume FX US/ EU = 1.1</em></span></span></span></span></span></span></span></span></span></p>",,Draft,"729,730,731,732,733,734,735",Kristin.Radzwill@sanofi.com,Kristin.Radzwill@sanofi.com,2025-07-23 21:03:00.000,2025-07-23 21:04:00.000
